ICD-9 Code,is_ICD-9,ICD-10 Chapter
355.71,TRUE,G57
M15,FALSE,M15
G10,FALSE,G10
M81,FALSE,M81
C9110,FALSE,C91
G600,FALSE,G60
Z9089,FALSE,Z90
E782,FALSE,E78
M4807,FALSE,M48
340,TRUE,G35
M84351,FALSE,M84
M1611,FALSE,M16
I8240,FALSE,I82
174.9,TRUE,C50
I87,FALSE,I87
S52123A,FALSE,S52
I712,FALSE,I71
H44,FALSE,H44
B34,FALSE,B34
I663,FALSE,I66
G252,FALSE,G25
I65,FALSE,I65
E8342,FALSE,E83
L4052,FALSE,L40
C50911,FALSE,C50
S324,FALSE,S32
D50,FALSE,D50
B974,FALSE,B97
291.2,TRUE,F10
356,TRUE,G60
296.5,TRUE,F31
I63541,FALSE,I63
J810,FALSE,J81
I248,FALSE,I24
Z48815,FALSE,Z48
I615,FALSE,I61
S3245,FALSE,S32
Z4789,FALSE,Z47
290.43,TRUE,F03
Z823,FALSE,Z82
332.1,TRUE,G21
J18,FALSE,J18
C569,FALSE,C56
G609,FALSE,G60
C90,FALSE,C90
G231,FALSE,G23
M542,FALSE,M54
D869,FALSE,D86
R47,FALSE,R47
I5033,FALSE,I50
B941,FALSE,B94
T1810,FALSE,T18
L959,FALSE,L95
M5416,FALSE,M54
G8250,FALSE,G82
E785,FALSE,E78
Z82,FALSE,Z82
C9000,FALSE,C90
J962,FALSE,J96
F33,FALSE,F33
C787,FALSE,C78
S52031,FALSE,S52
C170,FALSE,C17
R2243,FALSE,R22
C64,FALSE,C64
M329,FALSE,M32
202.8,TRUE,C85
R269,FALSE,R26
812.09,TRUE,S42
M0086,FALSE,M00
I519,FALSE,I51
I6935,FALSE,I69
J12,FALSE,J12
Z933,FALSE,Z93
N40,FALSE,N40
G4733,FALSE,G47
G318,FALSE,G31
R42,FALSE,R42
S42112D,FALSE,S42
G311,FALSE,G31
G89,FALSE,G89
G319,FALSE,G31
I4510,FALSE,I45
Z488,FALSE,Z48
349,TRUE,G89
I70235,FALSE,I70
G47,FALSE,G47
S3204,FALSE,S32
M961,FALSE,M96
L03115,FALSE,L03
S4302,FALSE,S43
R419,FALSE,R41
E440,FALSE,E44
C920,FALSE,C92
S52301,FALSE,S52
M543,FALSE,M54
S065X6D,FALSE,S06
Z826,FALSE,Z82
G21,FALSE,G21
I699,FALSE,I69
I441,FALSE,I44
M18,FALSE,M18
G23,FALSE,G23
C221,FALSE,C22
B35,FALSE,B35
M4696,FALSE,M46
M1991,FALSE,M19
M8580,FALSE,M85
F41,FALSE,F41
K5289,FALSE,K52
S70,FALSE,S70
M1712,FALSE,M17
S32502D,FALSE,S32
S2207,FALSE,S22
I70245,FALSE,I70
I63311,FALSE,I63
E44,FALSE,E44
B948,FALSE,B94
E271,FALSE,E27
S1211,FALSE,S12
G729,FALSE,G72
S42001D,FALSE,S42
I13,FALSE,I13
852,TRUE,S06
S52021,FALSE,S52
C50811,FALSE,C50
I69251,FALSE,I69
Z96641,FALSE,Z96
T14,FALSE,T14
I5031,FALSE,I50
F30,FALSE,F30
I73,FALSE,I73
Z955,FALSE,Z95
319,TRUE,F79
S325,FALSE,S32
S81,FALSE,S81
Z48816,FALSE,Z48
A4151,FALSE,A41
G70,FALSE,G70
290.13,TRUE,F03
E860,FALSE,E86
D45,FALSE,D45
S42201D,FALSE,S42
S32511,FALSE,S32
I252,FALSE,I25
N185,FALSE,N18
715.09,TRUE,M19
M7062,FALSE,M70
D320,FALSE,D32
K65,FALSE,K65
J9612,FALSE,J96
I6200,FALSE,I62
S120,FALSE,S12
S46,FALSE,S46
T84195D,FALSE,T84
733,TRUE,M81
C858,FALSE,C85
K29,FALSE,K29
331,TRUE,G31
J849,FALSE,J84
S0101XD,FALSE,S01
M35,FALSE,M35
S32010D,FALSE,S32
S065X9D,FALSE,S06
R251,FALSE,R25
M6259,FALSE,M62
780.93,TRUE,R41
F329,FALSE,F32
E038,FALSE,E03
R5381,FALSE,R53
G7249,FALSE,G72
M25612,FALSE,M25
G460,FALSE,G46
C795,FALSE,C79
T82,FALSE,T82
E11649,FALSE,E11
Z96642,FALSE,Z96
D63,FALSE,D63
F06,FALSE,F06
M7061,FALSE,M70
R2991,FALSE,R29
I150,FALSE,I15
G2401,FALSE,G24
Z28,FALSE,Z28
S32512,FALSE,S32
G061,FALSE,G06
G1221,FALSE,G12
S065X0,FALSE,S06
M792,FALSE,M79
E87,FALSE,E87
Z8501,FALSE,Z85
G809,FALSE,G80
S43,FALSE,S43
C8330,FALSE,C83
J8410,FALSE,J84
N13,FALSE,N13
Z98,FALSE,Z98
S32040,FALSE,S32
I5032,FALSE,I50
M5489,FALSE,M54
A49,FALSE,A49
728.88,TRUE,M62
S22030D,FALSE,S22
I629,FALSE,I62
M1045,FALSE,M10
Z96651,FALSE,Z96
C900,FALSE,C90
M8008,FALSE,M80
G04,FALSE,G04
I6789,FALSE,I67
D709,FALSE,D70
J9621,FALSE,J96
S02600A,FALSE,S02
I259,FALSE,I25
M5003,FALSE,M50
E1140,FALSE,E11
I110,FALSE,I11
S2200,FALSE,S22
G99,FALSE,G99
G934,FALSE,G93
I489,FALSE,I48
H35,FALSE,H35
S4220,FALSE,S42
S422,FALSE,S42
G931,FALSE,G93
M138,FALSE,M13
E13620,FALSE,E13
C652,FALSE,C65
S32030D,FALSE,S32
A4902,FALSE,A49
M5412,FALSE,M54
M8008XD,FALSE,M80
I251,FALSE,I25
S320,FALSE,S32
S22050,FALSE,S22
D494,FALSE,D49
T8454XA,FALSE,T84
S42101,FALSE,S42
R268,FALSE,R26
C03,FALSE,C03
G57,FALSE,G57
K92,FALSE,K92
R4182,FALSE,R41
M2555,FALSE,M25
R1084,FALSE,R10
H353,FALSE,H35
F061,FALSE,F06
M1389,FALSE,M13
F42,FALSE,F42
G90,FALSE,G90
I482,FALSE,I48
M19079,FALSE,M19
M0609,FALSE,M06
I47,FALSE,I47
M6250,FALSE,M62
I87321,FALSE,I87
K210,FALSE,K21
J984,FALSE,J98
M80051D,FALSE,M80
C41,FALSE,C41
B97,FALSE,B97
B96,FALSE,B96
E108,FALSE,E10
D860,FALSE,D86
S22000A,FALSE,S22
A310,FALSE,A31
J690,FALSE,J69
Z01818,FALSE,Z01
S3201,FALSE,S32
I12,FALSE,I12
I779,FALSE,I77
S32402D,FALSE,S32
A6920,FALSE,A69
G24,FALSE,G24
M13861,FALSE,M13
I5041,FALSE,I50
I82,FALSE,I82
G3281,FALSE,G32
G463,FALSE,G46
M72,FALSE,M72
J9610,FALSE,J96
K922,FALSE,K92
S42302A,FALSE,S42
C34,FALSE,C34
M19072,FALSE,M19
H8110,FALSE,H81
R58,FALSE,R58
D46,FALSE,D46
M316,FALSE,M31
M431,FALSE,M43
I82432,FALSE,I82
S32512D,FALSE,S32
G92,FALSE,G92
359.1,TRUE,G71
